fixture_id,kickoff,team,player,p_shots_gt0.5,odds_shots_gt0.5,ev_shots_gt0.5,p_shots_gt1.5,odds_shots_gt1.5,ev_shots_gt1.5,p_shots_gt2.5,odds_shots_gt2.5,ev_shots_gt2.5,p_sot_gt0.5,odds_sot_gt0.5,ev_sot_gt0.5,p_sot_gt1.5,odds_sot_gt1.5,ev_sot_gt1.5
1557371,2026-08-22T14:00:00+00:00,Nottingham Forest,Nikola Milenković,0.515,1.67,-0.14,0.203,4.0,-0.188,0.069,11.0,-0.241,,3.4,,,17.0,
1557371,2026-08-22T14:00:00+00:00,Nottingham Forest,Ola Aina,0.379,2.1,-0.204,0.105,6.5,-0.318,0.025,19.0,-0.525,0.196,5.0,-0.02,0.027,,
1557371,2026-08-22T14:00:00+00:00,Nottingham Forest,Ibrahim Sangaré,0.512,1.67,-0.145,0.201,4.0,-0.196,0.068,11.0,-0.252,0.217,3.5,-0.241,0.033,19.0,-0.373
1557371,2026-08-22T14:00:00+00:00,Nottingham Forest,James McAtee,,1.14,,,1.62,,,2.75,,,1.83,,,5.5,
1557371,2026-08-22T14:00:00+00:00,Nottingham Forest,Neco Williams,0.624,1.33,-0.17,0.31,2.5,-0.225,0.135,5.5,-0.257,0.252,2.5,-0.37,0.045,10.0,-0.55
1557371,2026-08-22T14:00:00+00:00,Nottingham Forest,Dan Ndoye,0.014,1.14,-0.984,0.0,1.67,-1.0,0.0,3.0,-1.0,0.0,1.83,-1.0,0.0,6.0,-1.0
1557371,2026-08-22T14:00:00+00:00,Nottingham Forest,Morgan Gibbs-White,0.82,1.05,-0.139,0.585,1.3,-0.24,0.38,1.83,-0.305,0.298,1.57,-0.532,0.064,3.75,-0.76
1557371,2026-08-22T14:00:00+00:00,Nottingham Forest,Igor Jesus,,1.03,,,1.18,,,1.53,,,1.44,,,3.25,
1557371,2026-08-22T14:00:00+00:00,Leeds,James Trafford,,,,,,,,,,,,,,,
1557371,2026-08-22T14:00:00+00:00,Leeds,Jaka Bijol,,1.57,,,3.5,,,10.0,,,3.4,,,17.0,
1557371,2026-08-22T14:00:00+00:00,Leeds,Joe Rodon,0.002,2.0,-0.996,0.0,6.0,-1.0,0.0,19.0,-1.0,,6.0,,,,
1557371,2026-08-22T14:00:00+00:00,Leeds,Tarik Muharemović,,2.1,,,6.5,,,19.0,,,6.0,,,,
1557371,2026-08-22T14:00:00+00:00,Leeds,Jayden Bogle,,1.67,,,4.0,,,11.0,,,4.0,,,21.0,
1557371,2026-08-22T14:00:00+00:00,Leeds,Anton Stach,,1.17,,,1.73,,,3.25,,,2.1,,,7.0,
1557371,2026-08-22T14:00:00+00:00,Leeds,Ethan Ampadu,,2.1,,,6.5,,,21.0,,,4.5,,,21.0,
1557371,2026-08-22T14:00:00+00:00,Leeds,James Justin,,1.5,,,3.25,,,8.0,,,5.5,,,,
1557371,2026-08-22T14:00:00+00:00,Leeds,Harry Wilson,0.639,1.12,-0.284,0.328,1.57,-0.485,0.148,2.62,-0.612,0.261,1.57,-0.59,0.048,3.75,-0.82
1557371,2026-08-22T14:00:00+00:00,Leeds,Brenden Aaronson,0.767,1.14,-0.126,0.497,1.67,-0.17,0.291,3.0,-0.127,0.256,2.1,-0.462,0.047,7.0,-0.671
1557371,2026-08-22T14:00:00+00:00,Leeds,Dominic Calvert-Lewin,,1.08,,,1.4,,,2.2,,,1.53,,,3.5,
1557372,2026-08-22T16:30:00+00:00,Brentford,Caoimhin Kelleher,,,,,,,,,,,,,,,
1557372,2026-08-22T16:30:00+00:00,Brentford,Michael Kayode,0.388,2.0,-0.224,0.111,5.5,-0.389,0.027,19.0,-0.487,,4.33,,,21.0,
1557372,2026-08-22T16:30:00+00:00,Brentford,Kristoffer Ajer,0.412,1.83,-0.246,0.126,5.0,-0.37,0.033,15.0,-0.505,0.22,4.0,-0.12,0.034,21.0,-0.286
